"row.id","col.id","PRIMARY_NAME_SF","LOCATION_ADDRESS_SF","CITY_NAME_SF","geometry.x","location_name_PFOA","location_PFOA","geometry.y"
"1",5,10,"EARECKSON AIR STATION USAF","SHEMYA ISLAND","ADAK",c(174.107672, 52.722466),"Earekson Air Station, Shemya Island, Aleutian Islands, Alaska","shemya island, aleutian islands, alaska",c(174.113615264899, 52.7139660495138)
"9253",7961,747,"GRUMMAN AEROSPACE CORP.","SWAN POND ROAD","CALVERTON",c(-72.794368, 40.915474),"Suffolk County Firematics Training Facility, Yaphank, Suffolk County, New York","yaphank, suffolk county, new york",c(-72.9170487, 40.8367653)
"9254",7962,740,"WOODCOCK ESTATES","1 MYRTLE AVE","CAMBRIDGE",c(-73.393417, 43.023694),"Hoosick Falls, Hoosick Falls, New York","hoosick falls, new york",c(-73.3515001, 42.9011892)
"9255",7968,737,"CROWN CLEANERS OF WATERTOWN INC.","3595 STATE ROUTE 3","CARTHAGE",c(-75.651861, 44.022944),"Fort Drum, Fort Drum (CDP), Jefferson County, New York","fort drum (cdp), jefferson county, new york",c(-75.7487779, 44.0580482)
"9256",7969,742,"VA HUDSON VALLEY HEALTHCARE SYSTEM - CASTLE POINT CAMPUS","ROUTE 9D","CASTLE POINT",c(-73.89318, 41.53054),"New Windsor Landfill, New Windsor, Orange County, New York","new windsor, orange county, new york",c(-74.0187116, 41.4880054)
"9257",7980,733,"OAKLEY FARM","GEES ROAD","CHITTENANGO",c(-75.78, 43.095249),"DFSP Verona, Verona, Oneida County, New York","verona, oneida county, new york",c(-75.5895614, 43.1263809)
"9258",7984,739,"USPS SYRACUSE PROCESSING & DISTRIBUTION CENTER/VEHICLE MAINTENANCE FACILITY","5640 EAST TAFT ROAD","CLAY",c(-76.13123, 43.12319),"Hancock Field ANG Base, Syracuse, Onondaga County, New York","syracuse, onondaga county, new york",c(-76.104578, 43.102361)
"9259",7985,732,"CLIFTON PARK RADIATION","7F TUPELO DRIVE","CLIFTON PARK",c(-73.74644, 42.83418),"Cohoes Norlite Facility, Cohoes, Albany County, New York","cohoes, albany county, new york",c(-73.7031475, 42.754628)
"9260",7987,742,"MARATHON BATTERY SUPERFUND SITE","KEMBLE AVENUE","COLD SPRING",c(-73.954719, 41.416111),"New Windsor Landfill, New Windsor, Orange County, New York","new windsor, orange county, new york",c(-74.0187116, 41.4880054)
"9261",7987,746,"MARATHON BATTERY SUPERFUND SITE","KEMBLE AVENUE","COLD SPRING",c(-73.954719, 41.416111),"Stewart ANGB / International Airport, City of Newburgh, Town of Newburgh, and Town of New Windsor, Orange County, New York","city of newburgh, town of newburgh, and town of new windsor, orange county, new york",c(-74.1008627, 41.4984032)
"9262",7988,732,"NORTON CO","ELM ST","COLONIE (TOWN)",c(-73.70639, 42.74354),"Cohoes Norlite Facility, Cohoes, Albany County, New York","cohoes, albany county, new york",c(-73.7031475, 42.754628)
"9263",7995,742,"D&W FURNITURE","2 MILL ST","CORNWALL",c(-74.050755, 41.443193),"New Windsor Landfill, New Windsor, Orange County, New York","new windsor, orange county, new york",c(-74.0187116, 41.4880054)
"9264",7995,746,"D&W FURNITURE","2 MILL ST","CORNWALL",c(-74.050755, 41.443193),"Stewart ANGB / International Airport, City of Newburgh, Town of Newburgh, and Town of New Windsor, Orange County, New York","city of newburgh, town of newburgh, and town of new windsor, orange county, new york",c(-74.1008627, 41.4984032)
"9265",8002,738,"SOUTHOLD LF","NORTH RD - RTE 27","CUTCHOGUE",c(-72.484912, 41.011365),"Hampton Bays Fire Station, Hampton Bays, Suffolk County, New York","hampton bays, suffolk county, new york",c(-72.5267056, 40.8770687)
"9266",8008,737,"DEFERIET PAPER MILL","400 ANDERSON AVENUE","DEFERIET",c(-75.68561, 44.03546),"Fort Drum, Fort Drum (CDP), Jefferson County, New York","fort drum (cdp), jefferson county, new york",c(-75.7487779, 44.0580482)
"9267",8017,734,"EAST HAMPTON LF","ACABONACK RD.","EAST HAMPTON",c(-72.172173, 40.977361),"East Hampton Airport, East Hampton Town & Wainscott, Suffolk County, New York","east hampton town & wainscott, suffolk county, new york",c(-72.2480167, 40.9609915)
"9268",8020,535,"GEORGE A ROBINSON & CO","477 WHITNEY RD","EAST ROCHESTER",c(-77.466855, 43.110527),"Gonic Mill, Rochester, Strafford County, New Hampshire","rochester, strafford county, new hampshire",c(-77.6121873, 43.1557937)
"9269",8021,535,"JARL EXTRUSIONS","860 W LINDEN AVE","EAST ROCHESTER",c(-77.497722, 43.121499),"Gonic Mill, Rochester, Strafford County, New Hampshire","rochester, strafford county, new hampshire",c(-77.6121873, 43.1557937)
"9270",8022,535,"NYSDOT PITTSFORD","938 LINDEN AVE","EAST ROCHESTER",c(-77.489686, 43.119028),"Gonic Mill, Rochester, Strafford County, New Hampshire","rochester, strafford county, new hampshire",c(-77.6121873, 43.1557937)
"9271",8035,535,"QUALITROL CO LLC","1385 FAIRPORT RD","FAIRPORT",c(-77.458918, 43.098265),"Gonic Mill, Rochester, Strafford County, New Hampshire","rochester, strafford county, new hampshire",c(-77.6121873, 43.1557937)
"9272",8049,540,"NAVAL UNDERWATER SYSTEMS CENTER","FISHERS ISLAND","FISHERS ISLAND",c(-72.005702, 41.255257),"Groton Town Dump, Groton, Grafton County, New Hampshire","groton, grafton county, new hampshire",c(-72.0076816, 41.3694784)
"9273",8050,742,"BEACON TECHNOLOGY CENTER","OLD GLENHAM","FISHKILL",c(-73.935991, 41.517182),"New Windsor Landfill, New Windsor, Orange County, New York","new windsor, orange county, new york",c(-74.0187116, 41.4880054)
"9274",8050,746,"BEACON TECHNOLOGY CENTER","OLD GLENHAM","FISHKILL",c(-73.935991, 41.517182),"Stewart ANGB / International Airport, City of Newburgh, Town of Newburgh, and Town of New Windsor, Orange County, New York","city of newburgh, town of newburgh, and town of new windsor, orange county, new york",c(-74.1008627, 41.4984032)
"9275",8053,737,"US ARMY FORT DRUM","10000 10TH MOUNTAIN DIV DR","FORT DRUM",c(-75.79592, 44.05452),"Fort Drum, Fort Drum (CDP), Jefferson County, New York","fort drum (cdp), jefferson county, new york",c(-75.7487779, 44.0580482)
"9276",8092,732,"CONSTANTINE SEW/DISP","BUTTON ROAD","HALFMOON",c(-73.70288, 42.84447),"Cohoes Norlite Facility, Cohoes, Albany County, New York","cohoes, albany county, new york",c(-73.7031475, 42.754628)
"9277",8102,535,"HENRIETTA TOWN DUMP","1233 LEHIGH STATION RD","HENRIETTA",c(-77.63282, 43.05903),"Gonic Mill, Rochester, Strafford County, New Hampshire","rochester, strafford county, new hampshire",c(-77.6121873, 43.1557937)
"9278",8103,535,"JOHN ST (GENERAL TESTING)","326 JOHN ST","HENRIETTA",c(-77.65813, 43.0844),"Gonic Mill, Rochester, Strafford County, New Hampshire","rochester, strafford county, new hampshire",c(-77.6121873, 43.1557937)
"9279",8116,747,"GOLDISC RECORDINGS, INC.","725 BROADWAY","HOLBROOK",c(-73.0647, 40.7745),"Suffolk County Firematics Training Facility, Yaphank, Suffolk County, New York","yaphank, suffolk county, new york",c(-72.9170487, 40.8367653)
"9280",8119,740,"SAINT GOBAIN PERFORMANCE PLASTICS","14 MCCAFFREY STREET","HOOSICK FALLS",c(-73.3566, 42.8943),"Hoosick Falls, Hoosick Falls, New York","hoosick falls, new york",c(-73.3515001, 42.9011892)
"9281",8119,744,"SAINT GOBAIN PERFORMANCE PLASTICS","14 MCCAFFREY STREET","HOOSICK FALLS",c(-73.3566, 42.8943),"Petersburgh, Petersburgh/Rensselaer County, New York","petersburgh/rensselaer county, new york",c(-73.3413948, 42.7508272)
"9282",8119,815,"SAINT GOBAIN PERFORMANCE PLASTICS","14 MCCAFFREY STREET","HOOSICK FALLS",c(-73.3566, 42.8943),"Former ChemFab Teflon Plant, Bennington & North Bennington, Vermont","bennington & north bennington, vermont",c(-73.2463, 42.91444)
"9283",8119,827,"SAINT GOBAIN PERFORMANCE PLASTICS","14 MCCAFFREY STREET","HOOSICK FALLS",c(-73.3566, 42.8943),"Shaftsbury Municipal Landfill, Shaftsbury, Bennington County, Vermont","shaftsbury, bennington county, vermont",c(-73.1987285, 42.9653293)
"9284",8168,743,"738 UPPER MOUNTAIN ROAD SITE","738 UPPER MOUNTAIN ROAD","LEWISTON",c(-79.02217, 43.15566),"Niagara Falls ARS, Niagara Falls, Niagara County, New York","niagara falls, niagara county, new york",c(-78.9415629, 43.1163078)
"9285",8169,743,"HOLY TRINITY CEMETERY","5401 ROBERT AVE","LEWISTON",c(-79.0326, 43.14849),"Niagara Falls ARS, Niagara Falls, Niagara County, New York","niagara falls, niagara county, new york",c(-78.9415629, 43.1163078)
"9286",8170,743,"STAUFFER MANAGEMENT COMPANY LLC","5715 OLD LEWISTON ROAD","LEWISTON",c(-79.038558, 43.146409),"Niagara Falls ARS, Niagara Falls, Niagara County, New York","niagara falls, niagara county, new york",c(-78.9415629, 43.1163078)
"9287",8195,746,"NEPERA CHEMICAL CO., INC.","COUNTY RT 4","MAYBROOK",c(-74.2447, 41.4643),"Stewart ANGB / International Airport, City of Newburgh, Town of Newburgh, and Town of New Windsor, Orange County, New York","city of newburgh, town of newburgh, and town of new windsor, orange county, new york",c(-74.1008627, 41.4984032)
"9288",8212,736,"PHILMAR ELECTRONICS","MASON STREET","MORRISONVILLE",c(-73.55928, 44.687238),"Former Plattsburgh Air Force Base;  now Plattsburgh International Airport, Plattsburgh, New York","plattsburgh, new york",c(-73.4679203, 44.6520597)
"9289",8215,748,"CANADIAN RADIUM & URANIUM CORP","MT. KISCO AVENUE","MT. KISCO",c(-73.72, 41.210949),"Westchester County Airport, Westchester County, New York","westchester county, new york",c(-73.7086641, 41.0683325)
"9290",8218,734,"NORTH SEA MUNICIPAL LANDFILL","MAJORS PATH","N SEA",c(-72.401389, 40.929161),"East Hampton Airport, East Hampton Town & Wainscott, Suffolk County, New York","east hampton town & wainscott, suffolk county, new york",c(-72.2480167, 40.9609915)
"9291",8218,738,"NORTH SEA MUNICIPAL LANDFILL","MAJORS PATH","N SEA",c(-72.401389, 40.929161),"Hampton Bays Fire Station, Hampton Bays, Suffolk County, New York","hampton bays, suffolk county, new york",c(-72.5267056, 40.8770687)
"9292",8228,742,"CSX NEW WINDSOR TRAIN DERAILMENT","1281 RIVER ROAD","NEW WINDSOR",c(-74.010068, 41.486249),"New Windsor Landfill, New Windsor, Orange County, New York","new windsor, orange county, new york",c(-74.0187116, 41.4880054)
"9293",8228,746,"CSX NEW WINDSOR TRAIN DERAILMENT","1281 RIVER ROAD","NEW WINDSOR",c(-74.010068, 41.486249),"Stewart ANGB / International Airport, City of Newburgh, Town of Newburgh, and Town of New Windsor, Orange County, New York","city of newburgh, town of newburgh, and town of new windsor, orange county, new york",c(-74.1008627, 41.4984032)
"9294",8235,742,"106 WILLIAM MOTT DRIVE","106 WILLIAM MOTT DRIVE","NEWBURGH",c(-74.038689, 41.512193),"New Windsor Landfill, New Windsor, Orange County, New York","new windsor, orange county, new york",c(-74.0187116, 41.4880054)
"9295",8235,746,"106 WILLIAM MOTT DRIVE","106 WILLIAM MOTT DRIVE","NEWBURGH",c(-74.038689, 41.512193),"Stewart ANGB / International Airport, City of Newburgh, Town of Newburgh, and Town of New Windsor, Orange County, New York","city of newburgh, town of newburgh, and town of new windsor, orange county, new york",c(-74.1008627, 41.4984032)
"9296",8236,742,"CONSOLIDATED IRON AND METAL","EAST END OF WASHINGTON STREET","NEWBURGH",c(-74.005639, 41.498028),"New Windsor Landfill, New Windsor, Orange County, New York","new windsor, orange county, new york",c(-74.0187116, 41.4880054)
"9297",8236,746,"CONSOLIDATED IRON AND METAL","EAST END OF WASHINGTON STREET","NEWBURGH",c(-74.005639, 41.498028),"Stewart ANGB / International Airport, City of Newburgh, Town of Newburgh, and Town of New Windsor, Orange County, New York","city of newburgh, town of newburgh, and town of new windsor, orange county, new york",c(-74.1008627, 41.4984032)
"9298",8237,742,"DUPONT STAUFFER DURAMATE","SOUTH ST","NEWBURGH",c(-74.04129, 41.509792),"New Windsor Landfill, New Windsor, Orange County, New York","new windsor, orange county, new york",c(-74.0187116, 41.4880054)
"9299",8237,746,"DUPONT STAUFFER DURAMATE","SOUTH ST","NEWBURGH",c(-74.04129, 41.509792),"Stewart ANGB / International Airport, City of Newburgh, Town of Newburgh, and Town of New Windsor, Orange County, New York","city of newburgh, town of newburgh, and town of new windsor, orange county, new york",c(-74.1008627, 41.4984032)
"9300",8238,742,"NEWBURGH LANDFILL","PIERCES RD","NEWBURGH",c(-74.03, 41.514165),"New Windsor Landfill, New Windsor, Orange County, New York","new windsor, orange county, new york",c(-74.0187116, 41.4880054)
"9301",8238,746,"NEWBURGH LANDFILL","PIERCES RD","NEWBURGH",c(-74.03, 41.514165),"Stewart ANGB / International Airport, City of Newburgh, Town of Newburgh, and Town of New Windsor, Orange County, New York","city of newburgh, town of newburgh, and town of new windsor, orange county, new york",c(-74.1008627, 41.4984032)
"9302",8239,742,"ORCHARD STREET","48 ORCHARD STREET","NEWBURGH",c(-74.03502, 41.50513),"New Windsor Landfill, New Windsor, Orange County, New York","new windsor, orange county, new york",c(-74.0187116, 41.4880054)
"9303",8239,746,"ORCHARD STREET","48 ORCHARD STREET","NEWBURGH",c(-74.03502, 41.50513),"Stewart ANGB / International Airport, City of Newburgh, Town of Newburgh, and Town of New Windsor, Orange County, New York","city of newburgh, town of newburgh, and town of new windsor, orange county, new york",c(-74.1008627, 41.4984032)
"9304",8240,742,"PRISMATIC DYEING AND FINISHING","40 WISNER AVE.","NEWBURGH",c(-74.03964, 41.50094),"New Windsor Landfill, New Windsor, Orange County, New York","new windsor, orange county, new york",c(-74.0187116, 41.4880054)
"9305",8240,746,"PRISMATIC DYEING AND FINISHING","40 WISNER AVE.","NEWBURGH",c(-74.03964, 41.50094),"Stewart ANGB / International Airport, City of Newburgh, Town of Newburgh, and Town of New Windsor, Orange County, New York","city of newburgh, town of newburgh, and town of new windsor, orange county, new york",c(-74.1008627, 41.4984032)
"9306",8243,743,"21ST STREET ASBESTOS","2101 NORTH AVENUE","NIAGARA FALLS",c(-79.03703, 43.1095),"Niagara Falls ARS, Niagara Falls, Niagara County, New York","niagara falls, niagara county, new york",c(-78.9415629, 43.1163078)
"9307",8244,743,"CHEMOURS NECCO PARK","5600B NIAGARA FALLS BLVD","NIAGARA FALLS",c(-78.95326, 43.09672),"Niagara Falls ARS, Niagara Falls, Niagara County, New York","niagara falls, niagara county, new york",c(-78.9415629, 43.1163078)
"9308",8245,743,"COVANTA ENVIRONMENTAL SOLUTIONS - NIAGARA","8335 QUARRY RD","NIAGARA FALLS",c(-78.96897, 43.12424),"Niagara Falls ARS, Niagara Falls, Niagara County, New York","niagara falls, niagara county, new york",c(-78.9415629, 43.1163078)
"9309",8246,743,"FOREST GLEN MOBILE HOME SUBDIVISION","LISA LANE, CARRIE DRIVE AND T. MARK DRV.","NIAGARA FALLS",c(-78.9995, 43.1127),"Niagara Falls ARS, Niagara Falls, Niagara County, New York","niagara falls, niagara county, new york",c(-78.9415629, 43.1163078)
"9310",8247,743,"FRONTIER CHEMICAL WASTE PROCESS, INC","4626 ROYAL AVE","NIAGARA FALLS",c(-79.01038, 43.08696),"Niagara Falls ARS, Niagara Falls, Niagara County, New York","niagara falls, niagara county, new york",c(-78.9415629, 43.1163078)
"9311",8248,743,"HAZSORB SITE-USEPA","1731 COLLEGE AVE","NIAGARA FALLS",c(-79.04047, 43.12184),"Niagara Falls ARS, Niagara Falls, Niagara County, New York","niagara falls, niagara county, new york",c(-78.9415629, 43.1163078)
"9312",8249,743,"HOOKER (S AREA)","BUFFALO AVE","NIAGARA FALLS",c(-79.0054, 43.0757),"Niagara Falls ARS, Niagara Falls, Niagara County, New York","niagara falls, niagara county, new york",c(-78.9415629, 43.1163078)
"9313",8250,743,"HOOKER HYDE PARK","HYDE PARK BLVD","NIAGARA FALLS",c(-79.036669, 43.131111),"Niagara Falls ARS, Niagara Falls, Niagara County, New York","niagara falls, niagara county, new york",c(-78.9415629, 43.1163078)
"9314",8251,743,"LOVE CANAL","E OF 97TH ST/W OF 99TH ST","NIAGARA FALLS",c(-78.94945, 43.079719),"Niagara Falls ARS, Niagara Falls, Niagara County, New York","niagara falls, niagara county, new york",c(-78.9415629, 43.1163078)
"9315",8252,743,"NIAGARA FALLS BOULEVARD","9540 NIAGARA FALLS BOULEVARD","NIAGARA FALLS",c(-78.95182, 43.09599),"Niagara Falls ARS, Niagara Falls, Niagara County, New York","niagara falls, niagara county, new york",c(-78.9415629, 43.1163078)
"9316",8253,743,"NIAGARA TOWN GARAGE","7105 LOCKPORT ROAD","NIAGARA FALLS",c(-78.98434, 43.12184),"Niagara Falls ARS, Niagara Falls, Niagara County, New York","niagara falls, niagara county, new york",c(-78.9415629, 43.1163078)
"9317",8254,743,"NORTH AMERICAN HOGANAS PYRON PLANT","5950 PACKARD ROAD","NIAGARA FALLS",c(-78.99709, 43.10218),"Niagara Falls ARS, Niagara Falls, Niagara County, New York","niagara falls, niagara county, new york",c(-78.9415629, 43.1163078)
"9318",8255,743,"OCCIDENTAL CHEMICAL CORPORATION","9829 BUFFALO AVENUE","NIAGARA FALLS",c(-78.942219, 43.070281),"Niagara Falls ARS, Niagara Falls, Niagara County, New York","niagara falls, niagara county, new york",c(-78.9415629, 43.1163078)
"9319",8256,743,"OLIN CORP","PINE AVE & 56TH ST","NIAGARA FALLS",c(-78.999867, 43.090776),"Niagara Falls ARS, Niagara Falls, Niagara County, New York","niagara falls, niagara county, new york",c(-78.9415629, 43.1163078)
"9320",8257,743,"SEVENSON ENVIRONMENTAL SERVICE","2749 LOCKPORT RD","NIAGARA FALLS",c(-79.028872, 43.115366),"Niagara Falls ARS, Niagara Falls, Niagara County, New York","niagara falls, niagara county, new york",c(-78.9415629, 43.1163078)
"9321",8258,743,"ST MARY'S & BISHOP","520 66TH STREET","NIAGARA FALLS",c(-78.98814, 43.08378),"Niagara Falls ARS, Niagara Falls, Niagara County, New York","niagara falls, niagara county, new york",c(-78.9415629, 43.1163078)
"9322",8259,743,"STOLLBERG INC","4111 WITMER RD","NIAGARA FALLS",c(-79.03354, 43.12372),"Niagara Falls ARS, Niagara Falls, Niagara County, New York","niagara falls, niagara county, new york",c(-78.9415629, 43.1163078)
"9323",8260,743,"TULIP RICHARDSON MANUFACTURING","3123 HIGHLAND AVE","NIAGARA FALLS",c(-79.04767, 43.11623),"Niagara Falls ARS, Niagara Falls, Niagara County, New York","niagara falls, niagara county, new york",c(-78.9415629, 43.1163078)
"9324",8261,743,"U.S. EPA REGION 2 - POWER CITY WAREHOUSE TRACT 2 SITE","3001 HIGHLAND AVENUE","NIAGARA FALLS",c(-79.04774, 43.11609),"Niagara Falls ARS, Niagara Falls, Niagara County, New York","niagara falls, niagara county, new york",c(-78.9415629, 43.1163078)
"9325",8265,747,"HOLTSVILLE LF","BUCKLEY AND BLUE POINT RDS","NORTH PATCHOGUE",c(-73.03522, 40.79992),"Suffolk County Firematics Training Facility, Yaphank, Suffolk County, New York","yaphank, suffolk county, new york",c(-72.9170487, 40.8367653)
"9326",8266,748,"DURACELL LITHIUM SYSTEMS DIVISION","60 ELM ST","NORTH TARRYTOWN",c(-73.86566, 41.085439),"Westchester County Airport, Westchester County, New York","westchester county, new york",c(-73.7086641, 41.0683325)
"9327",8267,743,"DUREZ NORTH TONAWANDA OCCIDENTAL CHEMICAL CORPORATION","700 WALCK ROAD","NORTH TONAWANDA",c(-78.859217, 43.047976),"Niagara Falls ARS, Niagara Falls, Niagara County, New York","niagara falls, niagara county, new york",c(-78.9415629, 43.1163078)
"9328",8268,743,"GRATWICK RIVERSIDE PARK","RIVER ROAD","NORTH TONAWANDA",c(-78.82343, 43.06842),"Niagara Falls ARS, Niagara Falls, Niagara County, New York","niagara falls, niagara county, new york",c(-78.9415629, 43.1163078)
"9329",8281,733,"CANASTOTA / ONEIDA DERAILMENT RESPONSE","ELM STREET AND CSX SERVICE ROAD","ONEIDA",c(-75.68625, 43.09695),"DFSP Verona, Verona, Oneida County, New York","verona, oneida county, new york",c(-75.5895614, 43.1263809)
"9330",8282,733,"DANDELION VILLAGE GROUNDWATER CONTAMINATION","WILLOW PL","ONEIDA",c(-75.59522, 43.0786),"DFSP Verona, Verona, Oneida County, New York","verona, oneida county, new york",c(-75.5895614, 43.1263809)
"9331",8299,740,"PETERSBURGH ASBESTOS SITE","INTERSECTION OF RTES 22 & 7","PETERSBURGH",c(-73.34701, 42.85187),"Hoosick Falls, Hoosick Falls, New York","hoosick falls, new york",c(-73.3515001, 42.9011892)
"9332",8299,744,"PETERSBURGH ASBESTOS SITE","INTERSECTION OF RTES 22 & 7","PETERSBURGH",c(-73.34701, 42.85187),"Petersburgh, Petersburgh/Rensselaer County, New York","petersburgh/rensselaer county, new york",c(-73.3413948, 42.7508272)
"9333",8299,809,"PETERSBURGH ASBESTOS SITE","INTERSECTION OF RTES 22 & 7","PETERSBURGH",c(-73.34701, 42.85187),"Burgess Brothers C&D Landfill, Bennington, Bennington County, Vermont","bennington, bennington county, vermont",c(-73.153634, 42.8726259)
"9334",8299,810,"PETERSBURGH ASBESTOS SITE","INTERSECTION OF RTES 22 & 7","PETERSBURGH",c(-73.34701, 42.85187),"Burgess Superfund Site, Bennington/Woodford, Bennington County, Vermont","bennington/woodford, bennington county, vermont",c(-73.153634, 42.8726259)
"9335",8299,815,"PETERSBURGH ASBESTOS SITE","INTERSECTION OF RTES 22 & 7","PETERSBURGH",c(-73.34701, 42.85187),"Former ChemFab Teflon Plant, Bennington & North Bennington, Vermont","bennington & north bennington, vermont",c(-73.2463, 42.91444)
"9336",8299,822,"PETERSBURGH ASBESTOS SITE","INTERSECTION OF RTES 22 & 7","PETERSBURGH",c(-73.34701, 42.85187),"Old Pownal Landfill (West Landfill), Pownal, Bennington County, Vermont","pownal, bennington county, vermont",c(-73.1832027, 42.8182023)
"9337",8303,736,"CUMBERLAND BAY SLUDGE BED","NW CUMBERLAND BAY, LAKE CHAMPLAIN","PLATTSBURGH",c(-73.42732, 44.70885),"Former Plattsburgh Air Force Base;  now Plattsburgh International Airport, Plattsburgh, New York","plattsburgh, new york",c(-73.4679203, 44.6520597)
"9338",8304,736,"PLATTSBURGH AIR FORCE BASE","PLATTSBURGH AFB","PLATTSBURGH",c(-73.464719, 44.6575),"Former Plattsburgh Air Force Base;  now Plattsburgh International Airport, Plattsburgh, New York","plattsburgh, new york",c(-73.4679203, 44.6520597)
"9339",8325,732,"AMRI RENSSELAER","33 RIVERSIDE AVENUE","RENSSELAER",c(-73.749778, 42.631528),"Cohoes Norlite Facility, Cohoes, Albany County, New York","cohoes, albany county, new york",c(-73.7031475, 42.754628)
"9340",8326,732,"BASF CORP COATINGS & COLORANTS DIV.","36 RIVERSIDE AVENUE","RENSSELAER",c(-73.749611, 42.629194),"Cohoes Norlite Facility, Cohoes, Albany County, New York","cohoes, albany county, new york",c(-73.7031475, 42.754628)
"9341",8331,535,"ALLIANCE PRECISION PLASTICS CORP","595 TRABOLD ROAD","ROCHESTER",c(-77.72573, 43.13142),"Gonic Mill, Rochester, Strafford County, New Hampshire","rochester, strafford county, new hampshire",c(-77.6121873, 43.1557937)
"9342",8332,535,"ARCH CHEMICALS INC","100 MCKEE ROAD","ROCHESTER",c(-77.666278, 43.15276),"Gonic Mill, Rochester, Strafford County, New Hampshire","rochester, strafford county, new hampshire",c(-77.6121873, 43.1557937)
"9343",8333,535,"CINTAS THE UNIFORM PEOPLE","333 WEST MAIN STREET","ROCHESTER",c(-77.62185, 43.15356),"Gonic Mill, Rochester, Strafford County, New Hampshire","rochester, strafford county, new hampshire",c(-77.6121873, 43.1557937)
"9344",8334,535,"CITY OF ROCHESTER POLICE AND FIRE ACAD.","1190 SCOTTSVILLE ROAD","ROCHESTER",c(-77.65455, 43.11937),"Gonic Mill, Rochester, Strafford County, New Hampshire","rochester, strafford county, new hampshire",c(-77.6121873, 43.1557937)
"9345",8335,535,"LAKE AVENUE MERCURY","619 LAKE AVENUE","ROCHESTER",c(-77.63038, 43.17621),"Gonic Mill, Rochester, Strafford County, New Hampshire","rochester, strafford county, new hampshire",c(-77.6121873, 43.1557937)
"9346",8336,535,"PHOTECH IMAGING SYSTEMS INC","1000 DRIVING PARK AV","ROCHESTER",c(-77.65751, 43.18636),"Gonic Mill, Rochester, Strafford County, New Hampshire","rochester, strafford county, new hampshire",c(-77.6121873, 43.1557937)
"9347",8337,535,"RAECO PRODUCTS","10 AMBROSE STREET","ROCHESTER",c(-77.62385, 43.168038),"Gonic Mill, Rochester, Strafford County, New Hampshire","rochester, strafford county, new hampshire",c(-77.6121873, 43.1557937)
"9348",8338,535,"ROCHESTER BRONZE & ALUMINUM FOUNDRY FORMER","61-77 SHERER STREET","ROCHESTER",c(-77.64987, 43.15414),"Gonic Mill, Rochester, Strafford County, New Hampshire","rochester, strafford county, new hampshire",c(-77.6121873, 43.1557937)
"9349",8339,535,"ROCHESTER METAL ETCHING CO INC","100 LAKE AVENUE","ROCHESTER",c(-77.62457, 43.16635),"Gonic Mill, Rochester, Strafford County, New Hampshire","rochester, strafford county, new hampshire",c(-77.6121873, 43.1557937)
"9350",8340,535,"ROCHESTER SILVER WORKS LLC","681 W RIDGE RD","ROCHESTER",c(-77.644508, 43.202435),"Gonic Mill, Rochester, Strafford County, New Hampshire","rochester, strafford county, new hampshire",c(-77.6121873, 43.1557937)
"9351",8341,735,"GRIFFISS AIR FORCE BASE","153 BROOKS RD","ROME",c(-75.416661, 43.233331),"Former Griffiss AFB, Rome, Oneida County, New York","rome, oneida county, new york",c(-75.4051114, 43.2258402)
"9352",8342,733,"OLD GENERAL CABLE","MILL STREET","ROME",c(-75.44906, 43.20334),"DFSP Verona, Verona, Oneida County, New York","verona, oneida county, new york",c(-75.5895614, 43.1263809)
"9353",8342,735,"OLD GENERAL CABLE","MILL STREET","ROME",c(-75.44906, 43.20334),"Former Griffiss AFB, Rome, Oneida County, New York","rome, oneida county, new york",c(-75.4051114, 43.2258402)
"9354",8343,733,"ROME LANDFILL","TANNERY RD","ROME",c(-75.538226, 43.23977),"DFSP Verona, Verona, Oneida County, New York","verona, oneida county, new york",c(-75.5895614, 43.1263809)
"9355",8343,735,"ROME LANDFILL","TANNERY RD","ROME",c(-75.538226, 43.23977),"Former Griffiss AFB, Rome, Oneida County, New York","rome, oneida county, new york",c(-75.4051114, 43.2258402)
"9356",8344,733,"ROME SUBSTATION-NIAGARA MOHAWK","KINGSLEY AVE @ MILL ST","ROME",c(-75.45341, 43.204875),"DFSP Verona, Verona, Oneida County, New York","verona, oneida county, new york",c(-75.5895614, 43.1263809)
"9357",8344,735,"ROME SUBSTATION-NIAGARA MOHAWK","KINGSLEY AVE @ MILL ST","ROME",c(-75.45341, 43.204875),"Former Griffiss AFB, Rome, Oneida County, New York","rome, oneida county, new york",c(-75.4051114, 43.2258402)
"9358",8345,745,"U S SENECA ARMY DEPOT","5786 STATE ROUTE 96","ROMULUS",c(-76.85445, 42.75),"Seneca Army Ammunition Plant (Depot), Seneca County, New York","seneca county, new york",c(-76.860565, 42.7350308)
"9359",8350,76,"ANDERSON HILL ASBESTOS SITE","ANDERSON HILL ROAD","RYE BROOK",c(-73.68843, 41.04113),"Greenwich, Greenwich, Connecticut","greenwich, connecticut",c(-73.6281964, 41.0262417)
"9360",8350,748,"ANDERSON HILL ASBESTOS SITE","ANDERSON HILL ROAD","RYE BROOK",c(-73.68843, 41.04113),"Westchester County Airport, Westchester County, New York","westchester county, new york",c(-73.7086641, 41.0683325)
"9361",8351,76,"PORT REFINERY SITE","55 HILLANDALE RD","RYE BROOK",c(-73.67345, 41.02816),"Greenwich, Greenwich, Connecticut","greenwich, connecticut",c(-73.6281964, 41.0262417)
